"RK","PLAYER","AGE","TEAM","POS","FG","THREEPOINT","EFFECTIVEFG","FREETHROW","REBOUNDS","ASSISTS","STEALS","BLOCKS","TURNOVERS","FOULS","POINTS"
"1","Shai Gilgeous-Alexander","26","OKC","PG",0.519,0.375,0.569,0.898,5,6.4,1.7,1,2.4,2.2,32.7
"2","Giannis Antetokounmpo","30","MIL","PF",0.601,0.222,0.607,0.617,11.9,6.5,0.9,1.2,3.1,2.3,30.4
"3","Nikola Jokić","29","DEN","C",0.576,0.417,0.627,0.8,12.7,10.2,1.8,0.6,3.3,2.3,29.6
"4","Luka Dončić","25","LAL","PG",0.438,0.379,0.53,0.791,8.1,7.5,1.6,0.4,3.7,2.4,28.2
"5","Anthony Edwards","23","MIN","SG",0.447,0.395,0.547,0.837,5.7,4.5,1.2,0.6,3.2,1.9,27.6
"6","Jayson Tatum","26","BOS","PF",0.452,0.343,0.537,0.814,8.7,6,1.1,0.5,2.9,2.2,26.8
"7","Kevin Durant","36","PHO","PF",0.527,0.43,0.598,0.839,6,4.2,0.8,1.2,3.1,1.7,26.6
"8","Tyrese Maxey","24","PHI","PG",0.437,0.337,0.511,0.879,3.3,6.1,1.8,0.4,2.4,2.2,26.3
"9","Cade Cunningham","23","DET","PG",0.469,0.356,0.521,0.846,6.1,9.1,1,0.8,4.4,2.8,26.1
"10","Jalen Brunson","28","NYK","PG",0.488,0.383,0.551,0.821,2.9,7.3,0.9,0.1,2.5,2.1,26
"11","Paolo Banchero","22","ORL","PF",0.452,0.32,0.5,0.727,7.5,4.8,0.8,0.6,3,2.1,25.9
"12","Devin Booker","28","PHO","SG",0.461,0.332,0.525,0.894,4.1,7.1,0.9,0.2,2.9,2.6,25.6
"13","LaMelo Ball","23","CHO","PG",0.405,0.339,0.494,0.843,4.9,7.4,1.1,0.3,3.6,3.3,25.2
"14","Damian Lillard","34","MIL","PG",0.448,0.376,0.547,0.921,4.7,7.1,1.2,0.2,2.8,1.7,24.9
"15","Anthony Davis","31","DAL","PF",0.461,0.233,0.484,0.688,10.1,4.4,0.6,2.2,2.2,1.8,20
"16","Kyrie Irving","32","DAL","SG",0.473,0.401,0.549,0.916,4.8,4.6,1.3,0.5,2.2,2,24.7
"17","Zion Williamson","24","NOP","PF",0.567,0.231,0.57,0.656,7.2,5.3,1.2,0.9,3,2.7,24.6
"18","Stephen Curry","36","GSW","PG",0.448,0.397,0.572,0.933,4.4,6,1.1,0.4,2.9,1.4,24.5
"19","LeBron James","40","LAL","SF",0.513,0.376,0.571,0.782,7.8,8.2,1,0.6,3.7,1.4,24.4
"20","Karl-Anthony Towns","29","NYK","C",0.526,0.42,0.584,0.829,12.8,3.1,1,0.7,2.7,3.5,24.4
"21","Victor Wembanyama","21","SAS","C",0.476,0.352,0.559,0.836,11,3.7,1.1,3.8,3.2,2.3,24.3
"22","Franz Wagner","23","ORL","SF",0.463,0.295,0.507,0.871,5.7,4.7,1.3,0.4,2.3,2.5,24.2
"23","Trae Young","26","ATL","PG",0.411,0.34,0.491,0.875,3.1,11.6,1.2,0.2,4.7,1.9,24.2
"24","Donovan Mitchell","28","CLE","SG",0.443,0.368,0.531,0.823,4.5,5,1.3,0.2,2.1,2,24
"25","Cam Thomas","23","BRK","SG",0.438,0.349,0.513,0.881,3.3,3.8,0.6,0.1,2.5,1.8,24
"26","Tyler Herro","25","MIA","SG",0.472,0.375,0.563,0.878,5.2,5.5,0.9,0.2,2.6,1.1,23.9
"27","Joel Embiid","30","PHI","C",0.444,0.299,0.481,0.882,8.2,4.5,0.7,0.9,3.3,2.2,23.8
"28","De'Aaron Fox","27","SAS","PG",0.446,0.274,0.493,0.819,4.3,6.8,1.5,0.3,2.4,2.7,19.7
"29","Zach LaVine","29","SAC","SG",0.511,0.446,0.611,0.874,3.5,3.8,0.6,0.1,2.7,1.8,22.4
"30","Ja Morant","25","MEM","PG",0.454,0.309,0.504,0.824,4.1,7.3,1.2,0.2,3.7,2.3,23.2
"31","James Harden","35","LAC","PG",0.41,0.352,0.501,0.874,5.8,8.7,1.5,0.7,4.3,2.1,22.8
"32","Jaylen Brown","28","BOS","SF",0.463,0.324,0.515,0.764,5.8,4.5,1.2,0.3,2.6,2.4,22.2
"33","DeMar DeRozan","35","SAC","SF",0.477,0.328,0.509,0.857,3.9,4.4,0.8,0.4,1.4,1.9,22.2
"34","Brandon Ingram","27","NOP","SF",0.465,0.374,0.53,0.855,5.6,5.2,0.9,0.6,3.8,2.5,22.2
"35","Jaren Jackson Jr.","25","MEM","C",0.488,0.375,0.548,0.781,5.6,2,1.2,1.5,2.1,3.5,22.2
"36","Norman Powell","31","LAC","SG",0.484,0.418,0.578,0.804,3.2,2.1,1.2,0.2,1.8,1.9,21.8
"37","Jalen Williams","23","OKC","SG",0.484,0.365,0.537,0.789,5.3,5.1,1.6,0.7,2.2,2.3,21.6
"38","Kawhi Leonard","33","LAC","SF",0.498,0.411,0.56,0.81,5.9,3.1,1.6,0.5,1.9,1.5,21.5
"39","Jamal Murray","27","DEN","PG",0.474,0.393,0.543,0.886,3.9,6,1.4,0.5,2.1,1.9,21.4
"40","Trey Murphy III","24","NOP","SF",0.454,0.361,0.548,0.887,5.1,3.5,1.1,0.7,1.9,2.1,21.2
"41","RJ Barrett","24","TOR","SF",0.468,0.35,0.523,0.63,6.3,5.4,0.8,0.3,2.8,2.4,21.1
"42","CJ McCollum","33","NOP","PG",0.444,0.373,0.53,0.717,3.8,4.1,0.8,0.4,1.9,2.2,21.1
"43","Jalen Green","22","HOU","SG",0.423,0.354,0.505,0.813,4.6,3.4,0.9,0.3,2.5,1.5,21
"44","Brandon Miller","22","CHO","SF",0.403,0.355,0.509,0.861,4.9,3.6,1.1,0.7,2.8,2.7,21
"45","Darius Garland","25","CLE","PG",0.472,0.401,0.562,0.878,2.9,6.7,1.2,0.1,2.5,1.9,20.6
"46","Jordan Poole","25","WAS","SG",0.432,0.378,0.544,0.883,3,4.5,1.3,0.4,3,3,20.5
"47","Coby White","24","CHI","SG",0.453,0.37,0.55,0.902,3.7,4.5,0.9,0.2,2.4,2.1,20.4
"48","Miles Bridges","26","CHO","PF",0.431,0.313,0.495,0.87,7.5,3.9,0.7,0.7,2.1,1.5,20.3
"49","Austin Reaves","26","LAL","SG",0.46,0.377,0.556,0.877,4.5,5.8,1.1,0.3,2.4,2.1,20.2
"50","Pascal Siakam","30","IND","PF",0.519,0.389,0.572,0.734,6.9,3.4,0.9,0.5,1.4,2.4,20.2
"51","Kristaps Porziņģis","29","BOS","C",0.483,0.412,0.572,0.809,6.8,2.1,0.7,1.5,1.3,2.8,19.5
"52","Scottie Barnes","23","TOR","PF",0.446,0.271,0.482,0.755,7.7,5.8,1.4,1,2.8,1.7,19.3
"53","Anfernee Simons","25","POR","SG",0.426,0.363,0.521,0.902,2.7,4.8,0.9,0.1,2,1.7,19.3
"54","Desmond Bane","26","MEM","SG",0.484,0.392,0.565,0.894,6.1,5.3,1.2,0.4,2.4,2.4,19.2
"55","Domantas Sabonis","28","SAC","C",0.59,0.417,0.627,0.754,13.9,6,0.7,0.4,2.9,3.3,19.1
"56","Alperen Şengün","22","HOU","C",0.496,0.233,0.505,0.692,10.3,4.9,1.1,0.8,2.6,2.8,19.1
"57","John Collins","27","UTA","PF",0.527,0.399,0.583,0.848,8.2,2,1,1,2.6,2.9,19
"58","Lauri Markkanen","27","UTA","PF",0.423,0.346,0.521,0.876,5.9,1.5,0.7,0.4,1.4,1.7,19
"59","Jalen Johnson","23","ATL","SF",0.5,0.312,0.541,0.746,10,5,1.6,1,2.9,1.9,18.9
"60","Cameron Johnson","28","BRK","PF",0.475,0.39,0.582,0.893,4.3,3.4,0.9,0.4,1.7,1.8,18.8
"61","Julius Randle","30","MIN","PF",0.485,0.344,0.542,0.806,7.1,4.7,0.7,0.2,2.8,2.5,18.7
"62","Tyrese Haliburton","24","IND","PG",0.473,0.388,0.582,0.851,3.5,9.2,1.4,0.7,1.6,1.3,18.6
"63","Evan Mobley","23","CLE","PF",0.557,0.37,0.604,0.725,9.3,3.2,0.9,1.6,2,2,18.5
"64","Shaedon Sharpe","21","POR","SG",0.452,0.311,0.519,0.785,4.5,2.8,0.9,0.2,2.1,1.7,18.5
"65","Nikola Vučević","34","CHI","C",0.53,0.402,0.592,0.805,10.1,3.5,0.8,0.7,1.6,2.2,18.5
"66","Collin Sexton","26","UTA","SG",0.48,0.406,0.543,0.865,2.7,4.2,0.7,0.1,2.5,2.3,18.4
"67","Michael Porter Jr.","26","DEN","SF",0.504,0.395,0.596,0.768,7,2.1,0.6,0.5,1.4,2,18.2
"68","Bam Adebayo","27","MIA","C",0.485,0.357,0.521,0.765,9.6,4.3,1.3,0.7,2.1,2.1,18.1
"69","Andrew Wiggins","29","MIA","SF",0.458,0.36,0.53,0.731,4.2,3.3,1.2,1,2.5,1.8,19
"70","OG Anunoby","27","NYK","PF",0.476,0.372,0.559,0.81,4.8,2.2,1.5,0.9,1.4,2.3,18
"71","Mikal Bridges","28","NYK","SF",0.5,0.354,0.57,0.814,3.2,3.7,0.9,0.5,1.6,1.5,17.6
"72","Jaden Ivey","22","DET","SG",0.46,0.409,0.536,0.733,4.1,4,0.9,0.4,3,2.2,17.6
"73","Jimmy Butler","35","GSW","SF",0.476,0.279,0.504,0.87,5.5,5.9,1.7,0.3,1.5,1,17.9
"74","Dejounte Murray","28","NOP","PG",0.393,0.299,0.445,0.823,6.5,7.4,2,0.4,3.4,2,17.5
"75","Malik Monk","26","SAC","SG",0.439,0.325,0.513,0.865,3.8,5.6,0.9,0.6,2.4,2.4,17.2
"76","Immanuel Quickley","25","TOR","PG",0.42,0.378,0.517,0.867,3.5,5.8,0.7,0.1,1.8,1.8,17.1
"77","De'Andre Hunter","27","CLE","SF",0.485,0.426,0.596,0.821,4.2,1.3,0.7,0.3,0.9,2.5,14.3
"78","Bradley Beal","31","PHO","SG",0.497,0.386,0.571,0.803,3.3,3.7,1.1,0.5,1.9,2.6,17
"79","Deni Avdija","24","POR","SF",0.476,0.365,0.55,0.78,7.3,3.9,1,0.5,2.7,2.4,16.9
"80","Keyonte George","21","UTA","PG",0.391,0.343,0.485,0.818,3.8,5.6,0.7,0.1,2.7,1.7,16.8
"81","Ivica Zubac","27","LAC","C",0.628,,0.628,0.661,12.6,2.7,0.7,1.1,1.6,2.1,16.8
"82","Derrick White","30","BOS","SG",0.442,0.384,0.58,0.839,4.5,4.8,0.9,1.1,1.7,1.8,16.4
"83","Malik Beasley","28","DET","SG",0.43,0.416,0.579,0.679,2.6,1.7,0.9,0.1,1,1.5,16.3
"84","Devin Vassell","24","SAS","SG",0.443,0.368,0.532,0.792,4,2.9,1.3,0.5,1.4,1.7,16.3
"85","Jordan Clarkson","32","UTA","SG",0.408,0.362,0.493,0.797,3.2,3.7,0.8,0.2,2.3,1.4,16.2
"86","Paul George","34","PHI","PF",0.43,0.358,0.514,0.814,5.3,4.3,1.8,0.5,2.6,2.5,16.2
"87","Jalen Suggs","23","ORL","PG",0.41,0.314,0.489,0.882,4,3.7,1.5,0.9,2.9,2.8,16.2
"88","Bennedict Mathurin","22","IND","SF",0.458,0.34,0.516,0.831,5.3,1.9,0.7,0.3,1.9,2.3,16.1
"89","Myles Turner","28","IND","C",0.481,0.396,0.577,0.773,6.5,1.5,0.8,2,1.7,2.5,15.6
"90","Christian Braun","23","DEN","SG",0.58,0.397,0.634,0.827,5.2,2.6,1.1,0.5,1,2.2,15.4
"91","Jonathan Kuminga","22","GSW","PF",0.454,0.305,0.495,0.668,4.6,2.2,0.8,0.4,1.5,1.9,15.3
"92","Jared McCain","20","PHI","SG",0.46,0.383,0.553,0.875,2.4,2.6,0.7,0,1.6,1.6,15.3
"93","Mark Williams","23","CHO","C",0.604,0,0.604,0.804,10.2,2.5,0.7,1.2,1.6,2.4,15.3
"94","Kelly Oubre Jr.","29","PHI","SF",0.47,0.293,0.518,0.751,6.1,1.8,1.5,0.5,1.3,3,15.1
"95","Chet Holmgren","22","OKC","C",0.49,0.379,0.554,0.754,8,2,0.7,2.2,1.8,2.3,15
"96","Kyle Kuzma","29","MIL","PF",0.455,0.333,0.52,0.663,5.6,2.2,0.5,0.4,2.2,2,14.5
"97","Stephon Castle","20","SAS","PG",0.428,0.285,0.476,0.724,3.7,4.1,0.9,0.3,2.2,2,14.7
"98","Aaron Gordon","29","DEN","PF",0.531,0.436,0.607,0.81,4.8,3.2,0.5,0.3,1.4,1.6,14.7
"99","P.J. Washington","26","DAL","PF",0.453,0.381,0.521,0.722,7.8,2.3,1.1,1.1,2.1,2.3,14.7
"100","Quentin Grimes","24","2TM","SG",0.467,0.385,0.565,0.757,4.3,3,1,0.3,1.9,1.8,14.6
"1","Shai Gilgeous-Alexander","26","OKC","PG",0.519,0.375,0.569,0.898,5,6.4,1.7,1,2.4,2.2,32.7
"2","Giannis Antetokounmpo","30","MIL","PF",0.601,0.222,0.607,0.617,11.9,6.5,0.9,1.2,3.1,2.3,30.4
"3","Nikola Jokić","29","DEN","C",0.576,0.417,0.627,0.8,12.7,10.2,1.8,0.6,3.3,2.3,29.6
"4","Luka Dončić","25","LAL","PG",0.438,0.379,0.53,0.791,8.1,7.5,1.6,0.4,3.7,2.4,28.2
"5","Anthony Edwards","23","MIN","SG",0.447,0.395,0.547,0.837,5.7,4.5,1.2,0.6,3.2,1.9,27.6
"6","Jayson Tatum","26","BOS","PF",0.452,0.343,0.537,0.814,8.7,6,1.1,0.5,2.9,2.2,26.8
"7","Kevin Durant","36","PHO","PF",0.527,0.43,0.598,0.839,6,4.2,0.8,1.2,3.1,1.7,26.6
"8","Tyrese Maxey","24","PHI","PG",0.437,0.337,0.511,0.879,3.3,6.1,1.8,0.4,2.4,2.2,26.3
"9","Cade Cunningham","23","DET","PG",0.469,0.356,0.521,0.846,6.1,9.1,1,0.8,4.4,2.8,26.1
"10","Jalen Brunson","28","NYK","PG",0.488,0.383,0.551,0.821,2.9,7.3,0.9,0.1,2.5,2.1,26
"11","Paolo Banchero","22","ORL","PF",0.452,0.32,0.5,0.727,7.5,4.8,0.8,0.6,3,2.1,25.9
"12","Devin Booker","28","PHO","SG",0.461,0.332,0.525,0.894,4.1,7.1,0.9,0.2,2.9,2.6,25.6
"13","LaMelo Ball","23","CHO","PG",0.405,0.339,0.494,0.843,4.9,7.4,1.1,0.3,3.6,3.3,25.2
"14","Damian Lillard","34","MIL","PG",0.448,0.376,0.547,0.921,4.7,7.1,1.2,0.2,2.8,1.7,24.9
"15","Anthony Davis","31","DAL","PF",0.461,0.233,0.484,0.688,10.1,4.4,0.6,2.2,2.2,1.8,20
"16","Kyrie Irving","32","DAL","SG",0.473,0.401,0.549,0.916,4.8,4.6,1.3,0.5,2.2,2,24.7
"17","Zion Williamson","24","NOP","PF",0.567,0.231,0.57,0.656,7.2,5.3,1.2,0.9,3,2.7,24.6
"18","Stephen Curry","36","GSW","PG",0.448,0.397,0.572,0.933,4.4,6,1.1,0.4,2.9,1.4,24.5
"19","LeBron James","40","LAL","SF",0.513,0.376,0.571,0.782,7.8,8.2,1,0.6,3.7,1.4,24.4
"20","Karl-Anthony Towns","29","NYK","C",0.526,0.42,0.584,0.829,12.8,3.1,1,0.7,2.7,3.5,24.4
"21","Victor Wembanyama","21","SAS","C",0.476,0.352,0.559,0.836,11,3.7,1.1,3.8,3.2,2.3,24.3
"22","Franz Wagner","23","ORL","SF",0.463,0.295,0.507,0.871,5.7,4.7,1.3,0.4,2.3,2.5,24.2
"23","Trae Young","26","ATL","PG",0.411,0.34,0.491,0.875,3.1,11.6,1.2,0.2,4.7,1.9,24.2
"24","Donovan Mitchell","28","CLE","SG",0.443,0.368,0.531,0.823,4.5,5,1.3,0.2,2.1,2,24
"25","Cam Thomas","23","BRK","SG",0.438,0.349,0.513,0.881,3.3,3.8,0.6,0.1,2.5,1.8,24
"26","Tyler Herro","25","MIA","SG",0.472,0.375,0.563,0.878,5.2,5.5,0.9,0.2,2.6,1.1,23.9
"27","Joel Embiid","30","PHI","C",0.444,0.299,0.481,0.882,8.2,4.5,0.7,0.9,3.3,2.2,23.8
"28","De'Aaron Fox","27","SAS","PG",0.446,0.274,0.493,0.819,4.3,6.8,1.5,0.3,2.4,2.7,19.7
"29","Zach LaVine","29","SAC","SG",0.511,0.446,0.611,0.874,3.5,3.8,0.6,0.1,2.7,1.8,22.4
"30","Ja Morant","25","MEM","PG",0.454,0.309,0.504,0.824,4.1,7.3,1.2,0.2,3.7,2.3,23.2
"31","James Harden","35","LAC","PG",0.41,0.352,0.501,0.874,5.8,8.7,1.5,0.7,4.3,2.1,22.8
"32","Jaylen Brown","28","BOS","SF",0.463,0.324,0.515,0.764,5.8,4.5,1.2,0.3,2.6,2.4,22.2
"33","DeMar DeRozan","35","SAC","SF",0.477,0.328,0.509,0.857,3.9,4.4,0.8,0.4,1.4,1.9,22.2
"34","Brandon Ingram","27","NOP","SF",0.465,0.374,0.53,0.855,5.6,5.2,0.9,0.6,3.8,2.5,22.2
"35","Jaren Jackson Jr.","25","MEM","C",0.488,0.375,0.548,0.781,5.6,2,1.2,1.5,2.1,3.5,22.2
